variante,desconto,seed,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
livre,evol,1,0,0,0,0,9,87,702,1889,1498,221,23,0
livre,evol,2,0,0,0,0,0,0,77,660,1696,1299,1126,492
livre,evol,3,24,1425,2428,2157,286,121,3,20,0,0,0,0
livre,evol,4,0,0,12,398,809,1611,1577,480,19,0,29,0
livre,evol,5,0,0,74,115,665,1728,1252,638,215,381,522,332
livre,evol,6,0,0,0,0,0,0,30,443,2417,1789,795,1074
livre,evol,7,0,0,0,2,162,232,649,2172,1105,1328,558,99
livre,evol,8,0,0,0,0,68,238,532,1006,1631,1133,441,312
uni_h,0.80,1,0,0,0,11,20,0,0,63,209,344,1440,2364
uni_h,0.80,2,0,0,0,0,51,85,3,74,548,1247,1675,1690
uni_h,0.80,3,0,0,91,324,266,399,500,524,394,560,1320,2052
uni_h,0.80,4,0,0,0,0,9,31,169,125,300,936,1552,1783
uni_h,0.80,5,0,0,13,145,281,142,230,127,633,1296,1546,1501
uni_h,0.80,6,0,0,0,0,14,40,335,248,693,1408,1914,1831
uni_h,0.80,7,0,0,0,0,3,30,48,103,344,1496,2246,1990
uni_h,0.80,8,0,0,0,0,0,7,82,155,1238,1170,1670,1089
uni_h,0.90,1,0,0,189,298,817,381,153,69,0,183,990,1365
uni_h,0.90,2,0,0,20,125,312,393,452,235,421,407,1248,1697
uni_h,0.90,3,0,120,484,540,360,550,726,288,385,630,864,1476
uni_h,0.90,4,0,20,295,512,392,156,63,205,86,221,907,2026
uni_h,0.90,5,0,0,180,693,588,415,353,183,190,243,946,2098
uni_h,0.90,6,0,0,60,421,220,439,289,162,157,546,1576,2581
uni_h,0.90,7,0,39,239,278,162,204,310,238,812,513,1433,2011
uni_h,0.90,8,0,0,127,328,517,435,155,62,224,605,1067,1838
uni_h,0.95,1,0,29,469,443,720,572,285,105,136,182,489,1009
uni_h,0.95,2,0,0,40,268,917,724,498,128,552,736,466,990
uni_h,0.95,3,0,238,899,814,652,660,411,358,201,297,920,967
uni_h,0.95,4,0,66,643,505,257,448,255,318,170,344,726,1129
uni_h,0.95,5,0,0,420,878,771,807,428,306,197,268,498,1309
uni_h,0.95,6,0,1,203,537,468,906,667,260,167,754,872,1608
uni_h,0.95,7,0,0,333,573,450,449,371,399,961,629,1175,899
uni_h,0.95,8,0,0,460,677,582,211,249,161,186,242,715,1845
uni_h,0.96,1,0,20,358,547,1091,717,130,83,41,67,389,979
uni_h,0.96,2,0,0,52,296,735,1023,529,234,269,491,806,875
uni_h,0.96,3,0,112,786,1103,483,958,630,234,577,283,353,896
uni_h,0.96,4,0,20,768,626,489,192,340,292,132,280,417,1311
uni_h,0.96,5,0,2,400,1032,862,470,409,133,65,290,899,1327
uni_h,0.96,6,0,10,324,767,605,845,354,169,130,389,946,1912
uni_h,0.96,7,0,47,326,508,186,622,827,557,648,357,1158,987
uni_h,0.96,8,0,0,446,651,802,153,105,134,259,349,999,1441
