desconto,seed,hi,hj,freq_hj,hor_m_fim,pop_fim,fixou
0.30,1,10,11,0.0722,10.0722,227.7,misto
0.30,2,10,11,0.4533,10.4533,273.7,misto
0.30,3,10,11,0.6263,10.6263,325.2,misto
0.30,4,10,11,0.0358,10.0358,248.1,misto
0.30,5,10,11,0.7069,10.7069,299.7,misto
0.30,6,10,11,0.0000,10.0000,328.0,HI
0.30,7,10,11,0.9945,10.9945,317.1,HJ
0.30,8,10,11,0.7218,10.7218,274.6,misto
0.30,1,11,12,0.0722,11.0722,227.7,misto
0.30,2,11,12,0.7191,11.7191,272.9,misto
0.30,3,11,12,0.6263,11.6263,325.2,misto
0.30,4,11,12,0.0358,11.0358,248.1,misto
0.30,5,11,12,0.7575,11.7575,298.8,misto
0.30,6,11,12,0.0000,11.0000,328.0,HI
0.30,7,11,12,0.9945,11.9945,317.1,HJ
0.30,8,11,12,0.7791,11.7791,273.0,misto
0.30,1,1,12,1.0000,12.0000,227.9,HJ
0.30,2,1,12,1.0000,12.0000,273.4,HJ
0.30,3,1,12,1.0000,12.0000,329.0,HJ
0.30,4,1,12,1.0000,12.0000,249.3,HJ
0.30,5,1,12,1.0000,12.0000,302.5,HJ
0.30,6,1,12,1.0000,12.0000,328.8,HJ
0.30,7,1,12,1.0000,12.0000,316.8,HJ
0.30,8,1,12,1.0000,12.0000,273.2,HJ
0.30,1,1,2,1.0000,2.0000,229.1,HJ
0.30,2,1,2,1.0000,2.0000,273.1,HJ
0.30,3,1,2,1.0000,2.0000,323.5,HJ
0.30,4,1,2,1.0000,2.0000,249.7,HJ
0.30,5,1,2,1.0000,2.0000,299.2,HJ
0.30,6,1,2,0.7529,1.7529,327.2,misto
0.30,7,1,2,0.9970,1.9970,316.0,HJ
0.30,8,1,2,1.0000,2.0000,274.5,HJ
0.30,1,2,3,0.8727,2.8727,226.8,misto
0.30,2,2,3,0.8941,2.8941,274.6,misto
0.30,3,2,3,0.8503,2.8503,323.4,misto
0.30,4,2,3,0.9915,2.9915,248.2,HJ
0.30,5,2,3,0.7432,2.7432,301.0,misto
0.30,6,2,3,0.6753,2.6753,328.2,misto
0.30,7,2,3,1.0000,3.0000,319.1,HJ
0.30,8,2,3,0.3620,2.3620,273.9,misto
0.30,1,3,12,0.8622,10.7599,227.1,misto
0.30,2,3,12,0.6041,8.4373,273.8,misto
0.30,3,3,12,0.7571,9.8142,323.3,misto
0.30,4,3,12,0.9164,11.2473,250.2,misto
0.30,5,3,12,0.7284,9.5558,299.9,misto
0.30,6,3,12,0.1133,4.0201,327.4,misto
0.30,7,3,12,0.0419,3.3773,316.5,misto
0.30,8,3,12,0.3790,6.4113,272.9,misto
0.30,1,3,4,0.6095,3.6095,227.0,misto
0.30,2,3,4,0.6535,3.6535,273.0,misto
0.30,3,3,4,0.5923,3.5923,322.4,misto
0.30,4,3,4,0.0893,3.0893,249.2,misto
0.30,5,3,4,0.5391,3.5391,299.3,misto
0.30,6,3,4,0.0955,3.0955,328.9,misto
0.30,7,3,4,1.0000,4.0000,316.5,HJ
0.30,8,3,4,0.9960,3.9960,274.5,HJ
0.30,1,4,5,0.8605,4.8605,227.3,misto
0.30,2,4,5,0.8608,4.8608,273.8,misto
0.30,3,4,5,0.5798,4.5798,322.6,misto
0.30,4,4,5,0.1112,4.1112,249.3,misto
0.30,5,4,5,0.4075,4.4075,299.9,misto
0.30,6,4,5,0.5967,4.5967,326.2,misto
0.30,7,4,5,0.9930,4.9930,318.9,HJ
0.30,8,4,5,0.7414,4.7414,273.3,misto
0.30,1,5,6,0.8044,5.8044,227.6,misto
0.30,2,5,6,0.5202,5.5202,273.5,misto
0.30,3,5,6,0.6607,5.6607,324.2,misto
0.30,4,5,6,0.9041,5.9041,250.6,misto
0.30,5,5,6,0.3841,5.3841,298.5,misto
0.30,6,5,6,0.7483,5.7483,328.1,misto
0.30,7,5,6,1.0000,6.0000,317.5,HJ
0.30,8,5,6,0.4580,5.4580,274.9,misto
0.30,1,6,12,0.7246,10.3479,228.7,misto
0.30,2,6,12,0.7091,10.2546,273.6,misto
0.30,3,6,12,0.7328,10.3969,325.4,misto
0.30,4,6,12,0.1978,7.1870,248.8,misto
0.30,5,6,12,0.6209,9.7252,300.5,misto
0.30,6,6,12,0.1103,6.6620,328.6,misto
0.30,7,6,12,0.0190,6.1137,317.2,HI
0.30,8,6,12,0.5218,9.1311,273.7,misto
0.30,1,6,7,0.1842,6.1842,226.7,misto
0.30,2,6,7,0.7289,6.7289,272.9,misto
0.30,3,6,7,0.8425,6.8425,326.1,misto
0.30,4,6,7,0.5817,6.5817,249.3,misto
0.30,5,6,7,0.1927,6.1927,299.1,misto
0.30,6,6,7,0.0074,6.0074,327.4,HI
0.30,7,6,7,0.9798,6.9798,319.1,misto
0.30,8,6,7,0.6982,6.6982,274.0,misto
0.30,1,7,8,0.5146,7.5146,227.7,misto
0.30,2,7,8,0.6235,7.6235,273.0,misto
0.30,3,7,8,0.5004,7.5004,326.5,misto
0.30,4,7,8,0.4164,7.4164,249.7,misto
0.30,5,7,8,0.1365,7.1365,299.3,misto
0.30,6,7,8,0.0000,7.0000,327.8,HI
0.30,7,7,8,1.0000,8.0000,317.2,HJ
0.30,8,7,8,0.3969,7.3969,274.8,misto
0.30,1,8,9,0.4064,8.4064,227.6,misto
0.30,2,8,9,0.8259,8.8259,272.4,misto
0.30,3,8,9,0.6840,8.6840,325.5,misto
0.30,4,8,9,0.1558,8.1558,250.0,misto
0.30,5,8,9,0.7028,8.7028,298.6,misto
0.30,6,8,9,0.0000,8.0000,329.3,HI
0.30,7,8,9,1.0000,9.0000,316.3,HJ
0.30,8,8,9,0.7590,8.7590,274.5,misto
0.30,1,9,10,0.6182,9.6182,226.4,misto
0.30,2,9,10,0.4473,9.4473,273.2,misto
0.30,3,9,10,0.6283,9.6283,326.1,misto
0.30,4,9,10,0.1391,9.1391,250.1,misto
0.30,5,9,10,0.7028,9.7028,298.6,misto
0.30,6,9,10,0.0000,9.0000,327.8,HI
0.30,7,9,10,0.9970,9.9970,318.8,HJ
0.30,8,9,10,0.3275,9.3275,274.1,misto
0.30,1,9,12,0.6182,10.8545,226.4,misto
0.30,2,9,12,0.5834,10.7503,273.4,misto
0.30,3,9,12,0.6281,10.8844,326.1,misto
0.30,4,9,12,0.1391,9.4174,250.1,misto
0.30,5,9,12,0.7029,11.1086,298.6,misto
0.30,6,9,12,0.0000,9.0000,327.8,HI
0.30,7,9,12,0.9942,11.9825,317.1,HJ
0.30,8,9,12,0.7218,11.1653,274.6,misto
0.50,1,10,11,0.4638,10.4638,226.1,misto
0.50,2,10,11,0.7102,10.7102,273.2,misto
0.50,3,10,11,0.5088,10.5088,321.0,misto
0.50,4,10,11,0.2504,10.2504,250.1,misto
0.50,5,10,11,0.6611,10.6611,299.2,misto
0.50,6,10,11,0.3186,10.3186,328.8,misto
0.50,7,10,11,0.9749,10.9749,318.0,misto
0.50,8,10,11,0.9050,10.9050,273.9,misto
0.50,1,11,12,0.4172,11.4172,226.1,misto
0.50,2,11,12,0.5164,11.5164,274.2,misto
0.50,3,11,12,0.3806,11.3806,325.5,misto
0.50,4,11,12,0.8796,11.8796,250.2,misto
0.50,5,11,12,0.3036,11.3036,301.4,misto
0.50,6,11,12,0.0769,11.0769,329.9,misto
0.50,7,11,12,0.7668,11.7668,319.3,misto
0.50,8,11,12,0.5341,11.5341,274.6,misto
0.50,1,1,12,1.0000,12.0000,227.6,HJ
0.50,2,1,12,1.0000,12.0000,272.7,HJ
0.50,3,1,12,1.0000,12.0000,325.6,HJ
0.50,4,1,12,1.0000,12.0000,249.9,HJ
0.50,5,1,12,1.0000,12.0000,297.8,HJ
0.50,6,1,12,1.0000,12.0000,329.5,HJ
0.50,7,1,12,1.0000,12.0000,318.6,HJ
0.50,8,1,12,1.0000,12.0000,274.9,HJ
0.50,1,1,2,1.0000,2.0000,227.9,HJ
0.50,2,1,2,1.0000,2.0000,272.8,HJ
0.50,3,1,2,1.0000,2.0000,325.3,HJ
0.50,4,1,2,1.0000,2.0000,249.7,HJ
0.50,5,1,2,1.0000,2.0000,299.5,HJ
0.50,6,1,2,1.0000,2.0000,329.2,HJ
