condicao,inicio,seed,disparou,tick_disparo,queda_max,tick_queda_max,ativo_no_fim
c1,2000,1,0,-1,0.0477,1055,0
c1,2000,2,1,2055,0.7155,2253,0
c1,2000,3,1,2054,0.6565,2254,0
c1,2000,4,1,2053,0.8884,2254,0
c1,2000,5,1,2052,0.7828,2253,0
c1,2000,6,1,2054,0.8606,2256,0
c1,2000,7,1,2058,0.6725,2253,0
c1,2000,8,0,-1,0.0386,1046,0
c2,0,1,0,-1,0.0477,1055,0
c2,0,2,0,-1,0.0400,1043,0
c2,0,3,0,-1,0.0294,1047,0
c2,0,4,0,-1,0.0488,1046,0
c2,0,5,0,-1,0.0307,1048,0
c2,0,6,0,-1,0.0309,1055,0
c2,0,7,0,-1,0.0257,1044,0
c2,0,8,0,-1,0.0386,1046,0
c3,2000,1,0,-1,0.0477,1055,0
c3,2000,2,1,2055,0.7155,2253,0
c3,2000,3,1,2054,0.6565,2254,0
c3,2000,4,1,2053,0.8884,2254,0
c3,2000,5,1,2052,0.7828,2253,0
c3,2000,6,1,2054,0.8606,2256,0
c3,2000,7,1,2058,0.6725,2253,0
c3,2000,8,0,-1,0.0386,1046,0
