condicao,inicio,seed,disparou,tick_disparo,queda_max,tick_queda_max,ativo_no_fim
f1,8000,1,1,8597,0.2792,8847,0
f1,8000,2,0,-1,0.1402,8920,0
f1,8000,3,1,8600,0.2515,8829,0
f1,8000,4,0,-1,0.1396,9823,0
f1,8000,5,1,8585,0.2612,8881,0
f1,8000,6,1,8381,0.2805,8830,0
f1,8000,7,1,8517,0.2617,8777,0
f1,8000,8,1,8442,0.3216,8830,0
f2,-1,1,0,-1,0.0283,10651,0
f2,-1,2,0,-1,0.0379,7216,0
f2,-1,3,0,-1,0.0242,9170,0
f2,-1,4,0,-1,0.0329,2805,0
f2,-1,5,0,-1,0.0219,5873,0
f2,-1,6,0,-1,0.0374,8728,0
f2,-1,7,0,-1,0.0318,12045,0
f2,-1,8,0,-1,0.0143,7701,0
f3,8000,1,1,8597,0.2792,8847,0
f3,8000,2,0,-1,0.1402,8920,0
f3,8000,3,1,8600,0.2515,8829,0
f3,8000,4,0,-1,0.1396,9823,0
f3,8000,5,1,8585,0.2612,8881,0
f3,8000,6,1,8381,0.2805,8830,0
f3,8000,7,1,8517,0.2617,8777,0
f3,8000,8,1,8442,0.3216,8830,0
