custo,seed,disparou,tick_disparo,queda_max,tick_queda_max,ativo_no_fim,extinta,tick_extincao
0.04,1,1,2113,0.4301,2271,0,0,-1
0.04,2,1,2109,0.4245,2268,0,0,-1
0.04,3,1,2140,0.3764,2278,0,0,-1
0.04,4,1,2116,0.4135,2275,0,0,-1
0.04,5,1,2114,0.4004,2274,0,0,-1
0.04,6,1,2135,0.3831,2286,0,0,-1
0.04,7,1,2132,0.3989,2275,0,0,-1
0.04,8,1,2116,0.4359,2271,0,0,-1
0.08,1,1,2080,0.5719,2261,0,0,-1
0.08,2,1,2080,0.5462,2260,0,0,-1
0.08,3,1,2092,0.4885,2264,0,0,-1
0.08,4,1,2081,0.5650,2264,0,0,-1
0.08,5,1,2081,0.5432,2263,0,0,-1
0.08,6,1,2091,0.5456,2273,0,0,-1
0.08,7,1,2095,0.5383,2263,0,0,-1
0.08,8,1,2084,0.5829,2262,0,0,-1
0.15,1,1,2065,0.6506,2256,0,0,-1
0.15,2,1,2065,0.6698,2256,0,0,-1
0.15,3,1,2069,0.5450,2257,0,0,-1
0.15,4,1,2063,0.6775,2257,0,0,-1
0.15,5,1,2064,0.6572,2257,0,0,-1
0.15,6,1,2068,0.6980,2262,0,0,-1
0.15,7,1,2073,0.6776,2257,0,0,-1
0.15,8,1,2066,0.7361,2257,0,0,-1
0.20,1,1,2061,0.7163,2255,0,0,-1
0.20,2,1,2060,0.6766,2254,0,0,-1
0.20,3,1,2062,0.6007,2256,0,0,-1
0.20,4,1,2058,0.7731,2256,0,0,-1
0.20,5,1,2059,0.6529,2254,0,0,-1
0.20,6,1,2061,0.7652,2259,0,0,-1
0.20,7,1,2064,0.6956,2255,0,0,-1
0.20,8,1,2060,0.7478,2255,0,0,-1
0.25,1,1,2058,0.7358,2254,0,0,-1
0.25,2,1,2057,0.6985,2253,0,0,-1
0.25,3,1,2057,0.6057,2255,0,0,-1
0.25,4,1,2054,0.8286,2254,0,0,-1
0.25,5,1,2055,0.6481,2254,0,0,-1
0.25,6,1,2056,0.8146,2258,0,0,-1
0.25,7,1,2061,0.6923,2254,0,0,-1
0.25,8,1,2056,0.8797,2255,0,0,-1
0.30,1,0,-1,0.0477,1055,0,1,2013
0.30,2,1,2055,0.7155,2253,0,0,-1
0.30,3,1,2054,0.6565,2254,0,0,-1
0.30,4,1,2053,0.8884,2254,0,0,-1
0.30,5,1,2052,0.7828,2253,0,0,-1
0.30,6,1,2054,0.8606,2256,0,0,-1
0.30,7,1,2058,0.6725,2253,0,0,-1
0.30,8,0,-1,0.0386,1046,0,1,2010
