cond,seed,ticks,pop_fim,phi_ini,phi_fim,ag_ini,ag_fim,ac_ini,ac_fim,esp_ini,esp_fim,hor_ini,hor_fim,hon_fim,blef_fim,corr_full,corr_3k
fambos,1,29999,229,0.056313,0.057287,0.481609,0.450903,0.101014,0.115177,3.000000,3.000000,6.000000,6.000000,0.812297,0.101770,0.0000,0.0000
fambos,2,29999,267,0.054537,0.062437,0.497929,0.462513,0.096900,0.118153,3.000000,3.000000,6.000000,6.000000,0.871010,0.098267,0.0000,0.0000
fambos,3,29999,325,0.054530,0.065463,0.509915,0.469950,0.094281,0.118467,3.000000,3.000000,6.000000,6.000000,0.908523,0.062593,0.0000,0.0000
fambos,4,29999,250,0.050423,0.060050,0.486185,0.453410,0.095117,0.100693,3.000000,3.000000,6.000000,6.000000,0.815370,0.123400,0.0000,0.0000
fambos,5,29999,291,0.055174,0.064983,0.511335,0.478987,0.097989,0.116803,3.000000,3.000000,6.000000,6.000000,0.880537,0.089823,0.0000,0.0000
fambos,6,29999,333,0.050235,0.054953,0.482758,0.443747,0.089210,0.110117,3.000000,3.000000,6.000000,6.000000,0.864063,0.066753,0.0000,0.0000
fambos,7,29999,314,0.049904,0.059157,0.497217,0.452787,0.088224,0.117407,3.000000,3.000000,6.000000,6.000000,0.872757,0.116023,0.0000,0.0000
fambos,8,29999,275,0.056192,0.056667,0.482641,0.453900,0.103071,0.122533,3.000000,3.000000,6.000000,6.000000,0.874913,0.082897,0.0000,0.0000
fambos,9,29999,353,0.053434,0.061040,0.495025,0.463713,0.094028,0.123717,3.000000,3.000000,6.000000,6.000000,0.833713,0.126387,0.0000,0.0000
fambos,10,29999,290,0.051224,0.060063,0.497541,0.461897,0.093840,0.109197,3.000000,3.000000,6.000000,6.000000,0.923933,0.044907,0.0000,0.0000
fambos,11,29999,310,0.052409,0.063050,0.509726,0.479450,0.090665,0.110770,3.000000,3.000000,6.000000,6.000000,0.891883,0.080497,0.0000,0.0000
fambos,12,29999,301,0.052623,0.065280,0.500808,0.458727,0.090324,0.121450,3.000000,3.000000,6.000000,6.000000,0.927600,0.053677,0.0000,0.0000
fambos,13,29999,273,0.052904,0.060850,0.496093,0.478427,0.094018,0.111063,3.000000,3.000000,6.000000,6.000000,0.906080,0.064760,0.0000,0.0000
fambos,14,29999,214,0.051722,0.056837,0.471843,0.460323,0.096270,0.100210,3.000000,3.000000,6.000000,6.000000,0.872867,0.073683,0.0000,0.0000
fambos,15,29999,332,0.053943,0.060337,0.505961,0.462863,0.097868,0.124333,3.000000,3.000000,6.000000,6.000000,0.901253,0.062287,0.0000,0.0000
fambos,16,29999,236,0.050221,0.063583,0.505352,0.468803,0.089456,0.106107,3.000000,3.000000,6.000000,6.000000,0.840987,0.102073,0.0000,0.0000
