desconto,seed,hi,hj,freq_hj,hor_m_fim,pop_fim,fixou
0.88,1,10,11,0.4575,10.4575,220.5,misto
0.88,2,10,11,0.4893,10.4893,261.0,misto
0.88,3,10,11,0.4918,10.4918,322.7,misto
0.88,4,10,11,0.5203,10.5203,241.3,misto
0.88,5,10,11,0.4708,10.4708,291.5,misto
0.88,6,10,11,0.5219,10.5219,323.7,misto
0.88,7,10,11,0.4603,10.4603,313.0,misto
0.88,8,10,11,0.5960,10.5960,266.7,misto
0.88,1,11,12,0.6572,11.6572,221.3,misto
0.88,2,11,12,0.5690,11.5690,265.8,misto
0.88,3,11,12,0.4823,11.4823,317.4,misto
0.88,4,11,12,0.4692,11.4692,241.9,misto
0.88,5,11,12,0.4699,11.4699,296.7,misto
0.88,6,11,12,0.4107,11.4107,322.6,misto
0.88,7,11,12,0.4997,11.4997,307.2,misto
0.88,8,11,12,0.5262,11.5262,266.7,misto
0.88,1,3,4,0.9820,3.9820,223.6,HJ
0.88,2,3,4,0.9960,3.9960,268.8,HJ
0.88,3,3,4,0.7959,3.7959,324.2,misto
0.88,4,3,4,0.9719,3.9719,245.1,misto
0.88,5,3,4,0.8878,3.8878,292.6,misto
0.88,6,3,4,0.9502,3.9502,327.5,misto
0.88,7,3,4,0.9320,3.9320,317.7,misto
0.88,8,3,4,0.9935,3.9935,273.5,HJ
0.88,1,4,5,0.8546,4.8546,222.2,misto
0.88,2,4,5,0.7128,4.7128,268.4,misto
0.88,3,4,5,0.6001,4.6001,322.7,misto
0.88,4,4,5,0.8756,4.8756,249.8,misto
0.88,5,4,5,0.6809,4.6809,298.7,misto
0.88,6,4,5,0.8118,4.8118,324.4,misto
0.88,7,4,5,0.7821,4.7821,316.4,misto
0.88,8,4,5,0.9259,4.9259,273.1,misto
0.88,1,5,12,0.6152,9.3067,220.9,misto
0.88,2,5,12,0.6552,9.5865,268.8,misto
0.88,3,5,12,0.4988,8.4917,325.1,misto
0.88,4,5,12,0.6638,9.6467,242.4,misto
0.88,5,5,12,0.5565,8.8956,296.9,misto
0.88,6,5,12,0.6077,9.2537,325.1,misto
0.88,7,5,12,0.7075,9.9525,313.8,misto
0.88,8,5,12,0.6508,9.5556,263.8,misto
0.88,1,5,6,0.8334,5.8334,221.6,misto
0.88,2,5,6,0.6261,5.6261,269.6,misto
0.88,3,5,6,0.4228,5.4228,319.6,misto
0.88,4,5,6,0.6672,5.6672,250.2,misto
0.88,5,5,6,0.6082,5.6082,302.1,misto
0.88,6,5,6,0.7006,5.7006,325.9,misto
0.88,7,5,6,0.7191,5.7191,314.8,misto
0.88,8,5,6,0.6514,5.6514,269.0,misto
0.88,1,6,7,0.5334,6.5334,219.6,misto
0.88,2,6,7,0.5839,6.5839,270.6,misto
0.88,3,6,7,0.5241,6.5241,323.3,misto
0.88,4,6,7,0.5537,6.5537,244.8,misto
0.88,5,6,7,0.5393,6.5393,294.1,misto
0.88,6,6,7,0.6095,6.6095,325.0,misto
0.88,7,6,7,0.5617,6.5617,310.4,misto
0.88,8,6,7,0.6942,6.6942,271.1,misto
0.88,1,7,12,0.5456,9.7281,217.4,misto
0.88,2,7,12,0.5631,9.8153,263.1,misto
0.88,3,7,12,0.4171,9.0857,318.4,misto
0.88,4,7,12,0.5799,9.8996,239.6,misto
0.88,5,7,12,0.5057,9.5287,300.7,misto
0.88,6,7,12,0.6002,10.0008,319.9,misto
0.88,7,7,12,0.5700,9.8501,312.1,misto
0.88,8,7,12,0.6348,10.1742,266.0,misto
0.88,1,7,8,0.5351,7.5351,222.1,misto
0.88,2,7,8,0.5390,7.5390,271.7,misto
0.88,3,7,8,0.5359,7.5359,322.0,misto
0.88,4,7,8,0.5725,7.5725,242.3,misto
0.88,5,7,8,0.4874,7.4874,294.6,misto
0.88,6,7,8,0.5465,7.5465,324.3,misto
0.88,7,7,8,0.5359,7.5359,314.4,misto
0.88,8,7,8,0.4785,7.4785,271.0,misto
0.88,1,8,9,0.6038,8.6038,223.0,misto
0.88,2,8,9,0.5180,8.5180,263.2,misto
0.88,3,8,9,0.4822,8.4822,315.0,misto
0.88,4,8,9,0.5364,8.5364,244.2,misto
0.88,5,8,9,0.5368,8.5368,294.4,misto
0.88,6,8,9,0.6545,8.6545,325.4,misto
0.88,7,8,9,0.5609,8.5609,308.8,misto
0.88,8,8,9,0.6797,8.6797,265.3,misto
0.88,1,9,10,0.6746,9.6746,217.9,misto
0.88,2,9,10,0.4112,9.4112,263.6,misto
0.88,3,9,10,0.5272,9.5272,322.9,misto
0.88,4,9,10,0.6579,9.6579,239.0,misto
0.88,5,9,10,0.5189,9.5189,289.4,misto
0.88,6,9,10,0.4409,9.4409,324.8,misto
0.88,7,9,10,0.5573,9.5573,311.1,misto
0.88,8,9,10,0.4886,9.4886,266.6,misto
0.88,1,9,12,0.5231,10.5692,225.0,misto
0.88,2,9,12,0.5347,10.6042,262.5,misto
0.88,3,9,12,0.3856,10.1568,323.8,misto
0.88,4,9,12,0.4907,10.4720,239.9,misto
0.88,5,9,12,0.4411,10.3233,296.2,misto
0.88,6,9,12,0.6056,10.8169,316.0,misto
0.88,7,9,12,0.5479,10.6438,313.3,misto
0.88,8,9,12,0.6016,10.8048,262.8,misto
0.90,1,10,11,0.5203,10.5203,219.9,misto
0.90,2,10,11,0.5108,10.5108,269.2,misto
0.90,3,10,11,0.4659,10.4659,317.0,misto
0.90,4,10,11,0.5221,10.5221,239.6,misto
0.90,5,10,11,0.4626,10.4626,287.0,misto
0.90,6,10,11,0.3911,10.3911,321.0,misto
0.90,7,10,11,0.4961,10.4961,308.0,misto
0.90,8,10,11,0.4617,10.4617,265.0,misto
0.90,1,11,12,0.4180,11.4180,220.3,misto
0.90,2,11,12,0.5170,11.5170,267.4,misto
0.90,3,11,12,0.4196,11.4196,319.5,misto
0.90,4,11,12,0.3307,11.3307,239.8,misto
0.90,5,11,12,0.4563,11.4563,291.7,misto
0.90,6,11,12,0.4337,11.4337,321.8,misto
0.90,7,11,12,0.5616,11.5616,307.6,misto
0.90,8,11,12,0.5028,11.5028,264.1,misto
0.90,1,3,4,0.9767,3.9767,226.4,misto
0.90,2,3,4,0.9262,3.9262,271.2,misto
0.90,3,3,4,0.8016,3.8016,323.5,misto
