desconto,seed,h_res,h_inv,freq_inv,hor_m,pop_fim,status
0.95,1,10,8,0.6703,8.6594,216.5,ok
0.95,2,10,8,0.3422,9.3155,264.0,ok
0.95,3,10,8,0.4361,9.1279,315.9,ok
0.95,4,10,8,0.5717,8.8566,240.8,ok
0.95,5,10,8,0.4509,9.0983,289.9,ok
0.95,6,10,8,0.3948,9.2104,318.8,ok
0.95,7,10,8,0.3611,9.2778,307.3,ok
0.95,8,10,8,0.3628,9.2744,263.3,ok
0.95,1,12,8,0.7222,9.1111,218.6,ok
0.95,2,12,8,0.6140,9.5440,265.1,ok
0.95,3,12,8,0.7219,9.1125,317.4,ok
0.95,4,12,8,0.7622,8.9510,242.1,ok
0.95,5,12,8,0.6343,9.4627,287.5,ok
0.95,6,12,8,0.6154,9.5383,318.7,ok
0.95,7,12,8,0.5764,9.6943,309.9,ok
0.95,8,12,8,0.6039,9.5844,263.1,ok
0.95,1,1,8,0.9777,7.8439,223.2,ok
0.95,2,1,8,1.0000,8.0000,266.4,ok
0.95,3,1,8,0.9179,7.4250,316.5,ok
0.95,4,1,8,0.9714,7.7996,244.3,ok
0.95,5,1,8,1.0000,8.0000,290.1,ok
0.95,6,1,8,0.9969,7.9780,317.9,ok
0.95,7,1,8,0.9714,7.7996,314.5,ok
0.95,8,1,8,0.9931,7.9516,268.0,ok
0.95,1,4,8,0.5469,6.1874,225.2,ok
0.95,2,4,8,0.5194,6.0778,271.0,ok
0.95,3,4,8,0.2127,4.8509,314.1,ok
0.95,4,4,8,0.5208,6.0833,241.9,ok
0.95,5,4,8,0.4206,5.6823,299.2,ok
0.95,6,4,8,0.5567,6.2270,324.7,ok
0.95,7,4,8,0.5281,6.1125,308.3,ok
0.95,8,4,8,0.5563,6.2253,270.2,ok
0.95,1,6,8,0.3487,6.6974,217.3,ok
0.95,2,6,8,0.1587,6.3175,265.7,ok
0.95,3,6,8,0.1107,6.2214,326.7,ok
0.95,4,6,8,0.3592,6.7185,247.1,ok
0.95,5,6,8,0.1699,6.3397,297.9,ok
0.95,6,6,8,0.3827,6.7654,319.8,ok
0.95,7,6,8,0.2653,6.5306,312.3,ok
0.95,8,6,8,0.2687,6.5374,260.9,ok
0.95,1,7,8,0.2919,7.2919,220.7,ok
0.95,2,7,8,0.1037,7.1037,262.5,ok
0.95,3,7,8,0.0576,7.0576,317.6,ok
0.95,4,7,8,0.0593,7.0593,244.5,ok
0.95,5,7,8,0.0819,7.0819,293.7,ok
0.95,6,7,8,0.1905,7.1905,321.5,ok
0.95,7,7,8,0.1135,7.1135,312.3,ok
0.95,8,7,8,0.0335,7.0335,267.9,ok
0.95,1,8,10,0.1984,8.3968,217.4,ok
0.95,2,8,10,0.0943,8.1885,265.2,ok
0.95,3,8,10,0.0459,8.0919,316.8,ok
0.95,4,8,10,0.1219,8.2437,238.3,ok
0.95,5,8,10,0.0780,8.1561,287.5,ok
0.95,6,8,10,0.2219,8.4437,322.7,ok
0.95,7,8,10,0.1323,8.2646,307.9,ok
0.95,8,8,10,0.0446,8.0892,267.9,ok
0.95,1,8,12,0.1888,8.7553,217.6,ok
0.95,2,8,12,0.1133,8.4531,260.7,ok
0.95,3,8,12,0.0900,8.3600,319.5,ok
0.95,4,8,12,0.2130,8.8520,240.1,ok
0.95,5,8,12,0.0346,8.1383,290.5,ok
0.95,6,8,12,0.1968,8.7871,318.4,ok
0.95,7,8,12,0.1739,8.6958,316.3,ok
0.95,8,8,12,0.2105,8.8420,262.1,ok
0.95,1,8,1,0.0287,7.7988,219.2,ok
0.95,2,8,1,-0.0000,8.0000,268.0,ok
0.95,3,8,1,0.0613,7.5710,312.8,ok
0.95,4,8,1,0.0326,7.7718,243.0,ok
0.95,5,8,1,0.0035,7.9757,287.6,ok
0.95,6,8,1,-0.0000,8.0000,322.0,ok
0.95,7,8,1,0.0162,7.8869,309.5,ok
0.95,8,8,1,0.0126,7.9117,265.8,ok
0.95,1,8,4,0.2845,6.8620,221.9,ok
0.95,2,8,4,0.1030,7.5881,269.7,ok
0.95,3,8,4,0.1415,7.4339,312.3,ok
0.95,4,8,4,0.1854,7.2584,244.9,ok
0.95,5,8,4,0.1279,7.4885,292.5,ok
