janela,custo,seed,disparou,tick_disparo,queda_max,tick_queda_max,ativo_no_fim,extinta,tick_extincao
250,0.30,1,0,-1,0.0477,1055,0,1,2013
250,0.30,2,1,2055,0.7155,2253,0,0,-1
250,0.30,3,1,2054,0.6565,2254,0,0,-1
250,0.30,4,1,2053,0.8884,2254,0,0,-1
250,0.30,5,1,2052,0.7828,2253,0,0,-1
250,0.30,6,1,2054,0.8606,2256,0,0,-1
250,0.30,7,1,2058,0.6725,2253,0,0,-1
250,0.30,8,0,-1,0.0386,1046,0,1,2010
250,0,1,0,-1,0.0477,1055,0,0,-1
250,0,2,0,-1,0.0400,1043,0,0,-1
250,0,3,0,-1,0.0294,1047,0,0,-1
250,0,4,0,-1,0.0488,1046,0,0,-1
250,0,5,0,-1,0.0307,1048,0,0,-1
250,0,6,0,-1,0.0309,1055,0,0,-1
250,0,7,0,-1,0.0257,1044,0,0,-1
250,0,8,0,-1,0.0386,1046,0,0,-1
30,0.30,1,1,2010,0.3222,2013,1,1,2013
30,0.30,2,1,2010,0.9861,2036,0,0,-1
30,0.30,3,1,2012,0.9860,2039,0,0,-1
30,0.30,4,1,2010,0.9958,2041,0,0,-1
30,0.30,5,1,2010,0.9924,2038,0,0,-1
30,0.30,6,1,2012,0.9859,2041,0,0,-1
30,0.30,7,1,2010,0.9882,2037,0,0,-1
30,0.30,8,0,-1,0.1984,2010,0,1,2010
30,0,1,0,-1,0.0584,5672,0,0,-1
30,0,2,0,-1,0.0696,242,0,0,-1
30,0,3,0,-1,0.0858,285,0,0,-1
30,0,4,0,-1,0.0870,242,0,0,-1
30,0,5,0,-1,0.0865,276,0,0,-1
30,0,6,0,-1,0.0922,206,0,0,-1
30,0,7,0,-1,0.0928,236,0,0,-1
30,0,8,0,-1,0.0758,217,0,0,-1
