cond,seed,ticks,pop_fim,phi_ini,phi_fim,ag_ini,ag_fim,ac_ini,ac_fim,esp_ini,esp_fim,hor_ini,hor_fim,hon_fim,blef_fim,corr_full,corr_3k
ctl,1,29999,224,0.056078,0.010837,0.458249,0.056833,0.098028,0.209850,3.067562,0.112313,7.636875,8.238570,0.942083,0.025010,0.9807,0.5456
ctl,2,29999,267,0.055819,0.011667,0.466537,0.068510,0.103174,0.204217,2.906623,0.134643,7.890754,9.739407,0.921977,0.056253,0.9591,0.5992
ctl,3,29999,322,0.056648,0.006213,0.473028,0.045150,0.090431,0.204473,2.655658,0.091380,6.670320,3.218920,0.907137,0.061387,0.9785,0.4903
ctl,4,29999,248,0.055851,0.008560,0.450132,0.049287,0.097573,0.211893,2.891641,0.087830,7.513278,6.088887,0.869437,0.109003,0.9577,0.5653
ctl,5,29999,298,0.058427,0.010263,0.479142,0.056503,0.097854,0.209760,2.809068,0.101240,6.816160,7.365100,0.915933,0.064273,0.9844,0.5624
ctl,6,29999,322,0.052071,0.008077,0.457018,0.045683,0.082790,0.191647,2.823680,0.080537,6.736456,9.853833,0.894547,0.088250,0.9817,0.7741
ctl,7,29999,317,0.051206,0.007727,0.465299,0.046403,0.089004,0.194093,2.809324,0.080250,7.541762,8.734483,0.834453,0.120450,0.9713,0.4936
ctl,8,29999,268,0.056214,0.007500,0.468947,0.051337,0.094189,0.209647,2.964893,0.096270,6.985509,9.099960,0.874240,0.092440,0.9743,0.5906
ctl,9,29999,348,0.060527,0.009773,0.453114,0.057993,0.106206,0.200350,2.590957,0.126643,7.355107,7.515190,0.877960,0.099880,0.9836,0.3435
ctl,10,29999,282,0.052623,0.009493,0.467149,0.059430,0.085982,0.202583,2.852747,0.106520,6.951925,3.702433,0.912477,0.069610,0.9769,0.6472
ctl,11,29999,308,0.054772,0.008120,0.482043,0.055407,0.093833,0.198307,2.862989,0.097677,7.406883,10.445313,0.886337,0.089820,0.9883,0.6332
ctl,12,29999,304,0.056142,0.008197,0.457626,0.052333,0.095327,0.200910,2.670320,0.089830,6.524986,5.334740,0.935350,0.043600,0.9763,0.4697
ctl,13,29999,267,0.056972,0.006233,0.462890,0.040023,0.095114,0.199983,2.804004,0.066377,7.349826,11.457853,0.918293,0.059407,0.9872,0.4815
ctl,14,29999,211,0.051174,0.006723,0.447559,0.043040,0.090765,0.211463,2.977480,0.083437,7.045794,4.302323,0.930693,0.052700,0.8966,0.5394
ctl,15,29999,330,0.055804,0.008653,0.462110,0.052423,0.095246,0.195557,2.592577,0.084933,7.263616,11.306543,0.892437,0.093643,0.9892,0.2753
ctl,16,29999,241,0.052726,0.006273,0.472249,0.035713,0.080708,0.211077,2.908085,0.063913,6.345477,3.415083,0.907650,0.067500,0.9751,0.5637
