cond,seed,ticks,pop_fim,mod_med,mod_max,ag_med,ag_max,mo_med,mo_max,phi_med,phi_max,rel_med,rel_max,ac_med,ac_max,ac_ini,ac_fim,ag_ini,ag_fim,hor_ini,hor_fim,hon_fim,blef_fim,ag_pares,ag_dif,ag_dif_f32so,ag_dif_dblso
ctl,1,2999,218,0.607743,1.000000,0.409120,0.573000,0.215818,0.429000,0.065847,0.088000,0.630317,0.782000,0.147359,0.317000,0.098028,0.187523,0.458249,0.338723,7.636875,9.078263,0.800817,0.092390,669305,0,0,0
ctl,2,2999,271,0.622912,0.978000,0.425658,0.576000,0.277361,0.433000,0.068726,0.090000,0.608179,0.763000,0.160648,0.417000,0.103174,0.185920,0.466537,0.395553,7.890754,10.426453,0.757593,0.119263,801617,0,0,0
ctl,3,2999,326,0.647259,1.000000,0.438540,0.563000,0.250117,0.383000,0.066692,0.086000,0.648013,0.782000,0.118902,0.383000,0.090431,0.138303,0.473028,0.418983,6.670320,7.267957,0.803740,0.142487,969616,0,0,0
ctl,4,2999,242,0.611721,1.000000,0.422775,0.562000,0.204852,0.333000,0.067068,0.086000,0.631149,0.785000,0.131260,0.283000,0.097573,0.159203,0.450132,0.397450,7.513278,8.264863,0.678023,0.227053,737749,0,0,0
ctl,5,2999,304,0.622989,0.960000,0.437433,0.565000,0.268149,0.419000,0.070047,0.092000,0.638391,0.759000,0.139188,0.450000,0.097854,0.157583,0.479142,0.402230,6.816160,8.954627,0.692690,0.251570,890090,0,0,0
ctl,6,2999,319,0.642190,0.971000,0.348453,0.549000,0.358250,0.571000,0.055238,0.081000,0.608621,0.750000,0.144694,0.567000,0.082790,0.184243,0.457018,0.242670,6.736456,10.297690,0.833460,0.131117,976093,0,0,0
ctl,7,2999,309,0.640091,1.000000,0.413925,0.558000,0.293305,0.470000,0.060627,0.077000,0.622641,0.755000,0.128226,0.483000,0.089004,0.168910,0.465299,0.360267,7.541762,8.145833,0.791817,0.129403,945028,0,0,0
ctl,8,2999,273,0.629186,1.000000,0.429098,0.589000,0.277246,0.419000,0.067837,0.088000,0.620622,0.772000,0.148383,0.383000,0.094189,0.171283,0.468947,0.413847,6.985509,9.828140,0.725473,0.207270,806526,1,1,0
ctl,9,2999,352,0.627007,1.000000,0.402923,0.565000,0.370230,0.506000,0.067060,0.089000,0.617004,0.744000,0.155743,0.550000,0.106206,0.173463,0.453114,0.361020,7.355107,8.685840,0.793600,0.146913,1048059,0,0,0
ctl,10,2999,284,0.635825,0.967000,0.429500,0.549000,0.213363,0.379000,0.064538,0.086000,0.620861,0.759000,0.129211,0.283000,0.085982,0.156980,0.467149,0.402630,6.951925,7.186063,0.698273,0.193997,845187,0,0,0
ctl,11,2999,309,0.637261,1.000000,0.446287,0.567000,0.220494,0.353000,0.065958,0.083000,0.633857,0.790000,0.128431,0.350000,0.093833,0.134173,0.482043,0.431847,7.406883,8.292773,0.694207,0.190303,919171,0,0,0
