seed,tick,pop,energia_media,comida_total,hor_m,hor_sd,desc_m,desc_sd,urg_m,urg_sd,esp_m,esp_sd,modelo,agencia,modelo_do_outro,phi,relato,hon_f,blef_f,autocausa,esc_plano_f,esc_monitor_f,arrep_m,arrep_sd
7,0,60,6.000,2080.5,6.683,3.580,0.7933,0.0572,1.978,0.582,3.131,0.791,0.000,0.100,0.017,0.020,0.000,0.250,0.450,0.250,0.267,0.400,-0.201,1.217
7,1,60,7.542,1973.8,6.683,3.580,0.7933,0.0572,1.978,0.582,3.131,0.791,1.000,0.133,0.000,0.031,0.607,0.250,0.450,0.433,0.267,0.400,-0.201,1.217
7,2,60,9.127,1871.1,6.683,3.580,0.7933,0.0572,1.978,0.582,3.131,0.791,0.862,0.117,0.000,0.060,0.271,0.250,0.450,0.433,0.267,0.400,-0.201,1.217
7,3,60,10.687,1775.9,6.683,3.580,0.7933,0.0572,1.978,0.582,3.131,0.791,0.881,0.117,0.000,0.040,0.287,0.250,0.450,0.233,0.267,0.400,-0.201,1.217
7,4,108,6.799,1687.0,6.620,3.524,0.7918,0.0600,1.983,0.582,3.162,0.774,0.768,0.259,0.139,0.048,0.422,0.269,0.435,0.213,0.287,0.407,-0.166,1.251
7,5,114,7.792,1530.3,6.667,3.519,0.7917,0.0599,1.996,0.590,3.134,0.779,0.875,0.219,0.123,0.045,0.436,0.254,0.439,0.158,0.289,0.386,-0.192,1.237
7,6,117,8.903,1381.6,6.701,3.519,0.7916,0.0598,1.995,0.584,3.123,0.786,0.761,0.145,0.094,0.061,0.519,0.248,0.436,0.145,0.282,0.385,-0.198,1.221
7,7,119,9.963,1249.8,6.655,3.516,0.7910,0.0595,1.989,0.583,3.124,0.782,0.743,0.134,0.092,0.054,0.550,0.244,0.429,0.067,0.286,0.387,-0.217,1.220
7,8,160,8.206,1140.7,6.725,3.539,0.7862,0.0606,2.008,0.589,3.111,0.820,0.704,0.294,0.169,0.060,0.652,0.275,0.419,0.100,0.312,0.356,-0.135,1.275
7,9,186,7.849,1006.3,6.640,3.491,0.7874,0.0614,1.998,0.592,3.121,0.812,0.702,0.333,0.145,0.066,0.668,0.269,0.430,0.059,0.296,0.371,-0.138,1.277
7,10,196,8.177,875.4,6.684,3.464,0.7885,0.0611,1.983,0.593,3.131,0.820,0.691,0.291,0.158,0.059,0.649,0.260,0.434,0.077,0.301,0.367,-0.170,1.266
