variante,desconto,horizonte,seed,k,n,cens,nP,nA,pred_m,real_m,vies,rmse,corr,fprem,viesP,rmseP,maxabsP,fvies,frmse,fcorr
ere,evol,evol,1234,0,656650,3196,400286,0,0.504743,0.350515,0.154229,0.255045,0.1092,0.6096,0.000000,0.000000,0,-9.000000,-9.000000,-9.0000
ere,evol,evol,1234,1,325789,3891,51845,327734,0.151433,0.347603,-0.196170,0.276680,-0.0684,0.1591,0.000000,0.000000,0,0.000000,0.000000,1.0000
ere,evol,evol,1234,2,196835,3920,18284,198140,0.171911,0.347808,-0.175897,0.257686,-0.0618,0.0929,0.000000,0.000000,0,-0.118824,0.144251,0.7487
ere,evol,evol,1234,3,158347,4172,9133,159388,0.174182,0.350594,-0.176411,0.256698,-0.0591,0.0577,0.000000,0.000000,0,-0.141913,0.199224,0.1786
ere,evol,evol,1234,4,109834,3786,4332,110588,0.174348,0.349122,-0.174774,0.253806,-0.0505,0.0394,0.000000,0.000000,0,-0.148294,0.206091,0.0922
ere,evol,evol,1234,5,90583,3906,2701,91232,0.176766,0.350006,-0.173240,0.251491,-0.0363,0.0298,0.000000,0.000000,0,-0.132350,0.202702,-0.0042
ere,evol,evol,1234,6,86018,4289,1978,86630,0.176723,0.352656,-0.175934,0.253626,-0.0360,0.0230,0.000000,0.000000,0,-0.137644,0.204637,0.0793
ere,evol,evol,1234,7,70060,4005,1355,70560,0.180473,0.352098,-0.171624,0.249759,-0.0375,0.0193,0.000000,0.000000,0,-0.125112,0.197089,0.0513
ere,evol,evol,1234,8,54519,3556,919,54914,0.184739,0.353342,-0.168604,0.246273,-0.0169,0.0169,0.000000,0.000000,0,-0.125410,0.193585,0.1119
ere,evol,evol,1234,9,38157,2951,594,38452,0.185678,0.351916,-0.166238,0.243480,-0.0189,0.0156,0.000000,0.000000,0,-0.119357,0.189756,0.0635
ere,evol,evol,1234,10,27941,2487,367,28167,0.182251,0.357051,-0.174801,0.249722,-0.0018,0.0131,0.000000,0.000000,0,-0.124340,0.191915,0.1052
ere,evol,evol,1234,11,16738,1633,204,16874,0.181390,0.357030,-0.175639,0.252039,-0.0027,0.0122,0.000000,0.000000,0,-0.121494,0.191408,0.0776
ere,evol,evol,42,0,692933,3354,420934,0,0.503825,0.350401,0.153424,0.253142,0.1177,0.6075,0.000000,0.000000,0,-9.000000,-9.000000,-9.0000
ere,evol,evol,42,1,364346,4271,58318,366481,0.153184,0.347361,-0.194177,0.275034,-0.0682,0.1601,0.000000,0.000000,0,0.000000,0.000000,1.0000
ere,evol,evol,42,2,240257,4467,21567,241745,0.166979,0.348330,-0.181351,0.262327,-0.0653,0.0898,0.000000,0.000000,0,-0.116152,0.142442,0.7932
ere,evol,evol,42,3,154185,4106,9031,155211,0.176864,0.346814,-0.169950,0.249800,-0.0436,0.0586,0.000000,0.000000,0,-0.137791,0.194107,0.1707
ere,evol,evol,42,4,133692,4517,5528,134595,0.182057,0.349488,-0.167431,0.247167,-0.0456,0.0413,0.000000,0.000000,0,-0.150168,0.211006,0.2062
ere,evol,evol,42,5,110105,4520,3604,110858,0.186903,0.350555,-0.163652,0.242720,-0.0329,0.0327,0.000000,0.000000,0,-0.117308,0.189161,0.0357
ere,evol,evol,42,6,82639,4139,2171,83230,0.186248,0.348799,-0.162551,0.241130,-0.0400,0.0263,0.000000,0.000000,0,-0.135495,0.198992,0.2206
ere,evol,evol,42,7,67552,3954,1272,68046,0.177908,0.351427,-0.173520,0.250260,-0.0323,0.0188,0.000000,0.000000,0,-0.121374,0.191298,0.0555
ere,evol,evol,42,8,51047,3341,650,51418,0.167876,0.352384,-0.184508,0.258957,-0.0457,0.0127,0.000000,0.000000,0,-0.138555,0.202411,0.1395
ere,evol,evol,42,9,34675,2472,316,34922,0.161541,0.352206,-0.190664,0.263924,-0.0445,0.0091,0.000000,0.000000,0,-0.136361,0.203413,0.0509
ere,evol,evol,42,10,22293,1663,104,22444,0.151215,0.356805,-0.205590,0.275419,-0.0574,0.0047,0.000000,0.000000,0,-0.145571,0.210060,0.0584
ere,evol,evol,42,11,8233,554,20,8279,0.153399,0.346584,-0.193185,0.263753,-0.0472,0.0024,0.000000,0.000000,0,-0.141165,0.206318,-0.0194
ere,evol,evol,7,0,762636,3905,454383,0,0.512241,0.350546,0.161696,0.262669,0.1159,0.5958,0.000000,0.000000,0,-9.000000,-9.000000,-9.0000
ere,evol,evol,7,1,572742,6467,96785,575975,0.136900,0.350256,-0.213356,0.293100,-0.1058,0.1690,0.000000,0.000000,0,0.000000,0.000000,1.0000
