variante,desconto,horizonte,seed,n_check,ok_check,disc_m,tot_m,hit,hit_tot,sum_n_hit,disc_u_fam,tot_u_fam,disc_u_sac,tot_u_sac,n_dec,sum_n_dec
ere,evol,evol,1,643412,643412,789878,10651147,492969,530091,3521484,358543,3916453,431335,6734694,530091,3521484
ere,evol,evol,2,778078,778078,955729,11652093,583571,637881,4045357,441346,4351261,514383,7300832,637881,4045357
ere,evol,evol,3,937330,937330,1222578,14675622,685888,766631,4990760,537686,5514853,684891,9160769,766631,4990760
ere,evol,evol,4,707713,707713,894489,11713276,534486,579955,3872276,376910,4038260,517579,7675016,579955,3872276
ere,evol,evol,5,859676,859676,1119721,13305659,639142,706021,4554760,505366,4960323,614355,8345336,706021,4554760
ere,evol,evol,6,949666,949666,1114342,13083606,692895,776171,4706029,511107,4994104,603235,8089502,776171,4706029
ere,evol,evol,7,916913,916913,1138913,12978206,652160,746714,4616245,498978,4818698,639935,8159508,746714,4616245
ere,evol,evol,8,779823,779823,919540,11512033,576390,640510,4013434,407636,4120983,511904,7391050,640510,4013434
livre,evol,evol,1,669319,669319,1864706,11995263,390710,554224,3826787,1000350,3782665,2787859,8212598,554224,3826787
livre,evol,evol,2,801636,801636,2114731,12885376,444891,661459,4338876,1182382,4071440,3248067,8813936,661459,4338876
livre,evol,evol,3,969627,969627,2773565,16495804,536279,806335,5435857,1821053,6253931,3865718,10241873,806335,5435857
livre,evol,evol,4,737752,737752,2051657,13339429,428891,611303,4250434,1012523,3869814,3325570,9469615,611303,4250434
livre,evol,evol,5,890114,890114,2474117,15064528,499157,736965,4970214,1684828,5466568,3640178,9597960,736965,4970214
livre,evol,evol,6,976373,976373,2603305,14618609,515242,804879,5081234,1782622,5884053,3142583,8734556,804879,5081234
livre,evol,evol,7,945072,945072,2530472,14354239,510672,783353,4985134,1523749,4935795,3484896,9418444,783353,4985134
livre,evol,evol,8,806611,806611,2086849,13109353,461566,665774,4386337,1144943,3959155,3367396,9150198,665774,4386337
uni,0.80,12,1,667507,667507,1956958,11711358,383881,552137,3766442,1359068,4539756,2639983,7171602,552137,3766442
uni,0.80,12,2,802605,802605,2258343,12576455,435820,665680,4283923,1492924,4546201,3126683,8030254,665680,4283923
uni,0.80,12,3,964781,964781,2910715,15870293,524987,800110,5298896,1947125,5592263,4063894,10278030,800110,5298896
uni,0.80,12,4,735334,735334,2212490,12906830,416092,608954,4156946,1585897,5045036,2908734,7861794,608954,4156946
uni,0.80,12,5,884745,884745,2608012,14280762,479164,734190,4810856,1663521,4804952,3750549,9475810,734190,4810856
uni,0.80,12,6,972976,972976,2650468,13913972,506575,804727,4939564,1990321,5817038,3241785,8096934,804727,4939564
uni,0.80,12,7,939056,939056,2614727,13631930,491025,778779,4828978,1813051,5124232,3387022,8507698,778779,4828978
uni,0.80,12,8,805892,805892,2238230,12598034,439159,666793,4281814,1564875,4829515,2961268,7768519,666793,4281814
uni,0.80,4,1,677415,677415,1775890,12415337,394473,562770,3925004,1505917,6371927,2138659,6043410,562770,3925004
uni,0.80,4,2,814972,814972,2180106,13241951,444395,677906,4438281,1668727,6255907,2666643,6986044,677906,4438281
uni,0.80,4,3,972077,972077,2854781,16533187,522058,808738,5448042,3212807,10436480,2438437,6096707,808738,5448042
uni,0.80,4,4,744036,744036,2024225,13604124,431728,618267,4310458,1274460,5477048,2912109,8127076,618267,4310458
uni,0.80,4,5,894700,894700,2568784,15031682,480252,744186,4980836,2530810,8506499,2596381,6525183,744186,4980836
uni,0.80,4,6,982687,982687,2578841,14360678,512971,816730,5053712,2348289,8041061,2546157,6319617,816730,5053712
uni,0.80,4,7,949242,949242,2577762,14161716,493139,790124,4953771,2486102,8214521,2408014,5947195,790124,4953771
uni,0.80,4,8,817463,817463,2121598,13326021,450138,679231,4450824,1830533,7016310,2368760,6309711,679231,4450824
uni,0.80,8,1,670462,670462,1937299,11890560,382268,556139,3810314,1519667,5340944,2384766,6549616,556139,3810314
uni,0.80,8,2,807043,807043,2255853,12754803,434455,670410,4326757,1746664,5519961,2799000,7234842,670410,4326757
uni,0.80,8,3,966888,966888,2962547,16101743,517877,802929,5349253,2628524,7690932,3327534,8410811,802929,5349253
uni,0.80,8,4,737859,737859,2179745,13096009,415284,611395,4197994,1693165,5754744,2700429,7341265,611395,4197994
uni,0.80,8,5,888855,888855,2643265,14553294,476095,738311,4875890,1978187,5891214,3430592,8662080,738311,4875890
uni,0.80,8,6,975598,975598,2653236,14024894,503778,809028,4968886,2355925,7104849,2770134,6920045,809028,4968886
uni,0.80,8,7,943423,943423,2626284,13746033,488158,783789,4860472,2254067,6652154,2829227,7093879,783789,4860472
uni,0.80,8,8,809282,809282,2223862,12829884,438582,670835,4336834,1876931,6043612,2565173,6786272,670835,4336834
uni,0.90,12,1,652780,652780,1843319,11183612,364340,540438,3641241,560278,1580070,3586659,9603542,540438,3641241
uni,0.90,12,2,786412,786412,2147555,11944946,418671,652898,4134432,569604,1487947,4169650,10456999,652898,4134432
uni,0.90,12,3,953302,953302,2834931,15357965,508031,791531,5180095,816670,2098971,5447690,13258994,791531,5180095
uni,0.90,12,4,719412,719412,2089402,12276545,392405,596133,4009242,687766,1858089,3958107,10418456,596133,4009242
uni,0.90,12,5,871465,871465,2517462,13676233,462422,723947,4671156,653750,1660808,4913820,12015425,723947,4671156
uni,0.90,12,6,958365,958365,2581490,13384390,490537,793757,4814533,852222,2166314,4585700,11218076,793757,4814533
uni,0.90,12,7,925200,925200,2524083,12990571,477928,767437,4681167,750707,1923248,4585636,11067323,767437,4681167
uni,0.90,12,8,789040,789040,2116373,11955560,420492,653185,4131261,749246,1996740,3879263,9958820,653185,4131261
uni,0.90,4,1,674812,674812,1908587,12267404,370236,560882,3893019,1461392,5868910,2306421,6398494,560882,3893019
uni,0.90,4,2,810789,810789,2361871,13069658,416668,674354,4397295,1671239,5905051,2796267,7164607,674354,4397295
uni,0.90,4,3,969672,969672,3131041,16418115,491712,806735,5420851,2960046,9127795,2955399,7290320,806735,5420851
uni,0.90,4,4,741938,741938,2174055,13474376,399438,616329,4281862,1665545,6399572,2585492,7074804,616329,4281862
uni,0.90,4,5,892924,892924,2807992,14911651,453765,742955,4955189,2441469,7723215,2891712,7188436,742955,4955189
uni,0.90,4,6,979134,979134,2853024,14374140,486579,813920,5053490,2478386,7954555,2648303,6419585,813920,5053490
uni,0.90,4,7,947156,947156,2832177,14073146,467795,789082,4935326,2656069,8202163,2405116,5870983,789082,4935326
uni,0.90,4,8,814349,814349,2300441,13183288,422472,676882,4419507,2009839,7111884,2303222,6071404,676882,4419507
uni,0.90,8,1,661895,661895,1901122,11502822,360279,549320,3720561,860923,2634037,3183181,8868785,549320,3720561
uni,0.90,8,2,794332,794332,2247070,12298537,413299,660689,4218238,1033808,2878550,3638571,9419987,660689,4218238
uni,0.90,8,3,959735,959735,2996832,15721625,498395,798025,5265828,1237854,3288689,4990396,12432936,798025,5265828
uni,0.90,8,4,728897,728897,2150072,12673911,390381,605193,4106299,1040014,3037248,3498412,9636663,605193,4106299
uni,0.90,8,5,879680,879680,2659346,14046665,454758,731384,4761512,1175933,3134492,4341768,10912173,731384,4761512
uni,0.90,8,6,965995,965995,2687651,13705355,488116,802847,4897194,1324084,3523142,4054857,10182213,802847,4897194
uni,0.90,8,7,934181,934181,2649809,13402225,474701,777116,4782281,1065059,2799507,4273574,10602718,777116,4782281
uni,0.90,8,8,798948,798948,2188230,12323391,420209,664315,4226288,1031165,2933379,3542920,9390012,664315,4226288
uni,0.95,12,1,638246,638246,1925397,10680689,331206,523262,3503232,585953,1538610,3477302,9142079,523262,3503232
uni,0.95,12,2,771736,771736,2235359,11581240,389601,635888,4026200,619124,1537530,4080398,10043710,635888,4026200
uni,0.95,12,3,943426,943426,3035573,15044057,469652,776247,5078055,1159802,2838290,5081232,12205767,776247,5078055
