desconto,horizonte,seed,pop,energia,comida_total,modelo,hor_m,desc_m
0.80,1,1,227.7367,5.7455,310.0917,0.9366,1.0000,0.8000
0.80,1,2,273.1233,5.9859,321.2400,0.9167,1.0000,0.8000
0.80,1,3,324.3967,5.2767,352.7150,0.9063,1.0000,0.8000
0.80,1,4,249.6400,6.0040,325.0803,0.9367,1.0000,0.8000
0.80,1,5,298.8200,5.6799,338.7477,0.9120,1.0000,0.8000
0.80,1,6,329.2267,6.1489,341.1060,0.8938,1.0000,0.8000
0.80,1,7,317.8933,5.9007,339.0887,0.8972,1.0000,0.8000
0.80,1,8,273.7200,6.0565,321.9623,0.9200,1.0000,0.8000
0.80,2,1,227.2967,5.6155,309.4323,0.7536,2.0000,0.8000
0.80,2,2,274.2000,5.9007,318.2640,0.7473,2.0000,0.8000
0.80,2,3,323.4967,5.1215,348.6933,0.7482,2.0000,0.8000
0.80,2,4,249.0367,5.9842,324.0253,0.7523,2.0000,0.8000
0.80,2,5,300.6933,5.3489,334.2940,0.7483,2.0000,0.8000
0.80,2,6,329.8900,5.7338,338.1413,0.7481,2.0000,0.8000
0.80,2,7,316.5467,5.6575,337.6967,0.7486,2.0000,0.8000
0.80,2,8,273.5133,5.8915,321.1817,0.7509,2.0000,0.8000
0.80,3,1,227.7533,4.9769,312.0320,0.6804,3.0000,0.8000
0.80,3,2,272.3933,5.7994,323.3850,0.6869,3.0000,0.8000
0.80,3,3,324.4700,4.5186,348.4200,0.6836,3.0000,0.8000
0.80,3,4,247.9300,5.5461,326.8683,0.6826,3.0000,0.8000
0.80,3,5,299.3867,5.1201,337.5703,0.6831,3.0000,0.8000
0.80,3,6,326.4833,5.4451,343.4153,0.6913,3.0000,0.8000
0.80,3,7,317.7200,5.4099,339.4870,0.6912,3.0000,0.8000
0.80,3,8,271.9067,5.6873,324.9667,0.6847,3.0000,0.8000
0.80,4,1,226.4900,5.3578,315.4440,0.6422,4.0000,0.8000
0.80,4,2,270.8167,5.5686,328.8343,0.6520,4.0000,0.8000
0.80,4,3,322.0767,4.6322,352.2437,0.6501,4.0000,0.8000
0.80,4,4,250.0000,5.5384,327.5333,0.6432,4.0000,0.8000
0.80,4,5,297.1933,5.0126,342.8477,0.6489,4.0000,0.8000
0.80,4,6,328.0500,5.1834,345.9660,0.6615,4.0000,0.8000
0.80,4,7,312.7867,4.7171,346.8087,0.6591,4.0000,0.8000
0.80,4,8,272.4633,5.3430,328.1640,0.6523,4.0000,0.8000
0.80,5,1,225.1700,5.6995,321.2787,0.6183,5.0000,0.8000
0.80,5,2,270.1733,5.7402,332.2917,0.6325,5.0000,0.8000
0.80,5,3,321.6733,5.0783,356.2037,0.6310,5.0000,0.8000
0.80,5,4,243.4567,6.3753,338.5927,0.6206,5.0000,0.8000
0.80,5,5,296.8500,4.7739,346.3180,0.6306,5.0000,0.8000
0.80,5,6,326.5600,5.2988,350.2983,0.6433,5.0000,0.8000
0.80,5,7,316.9233,4.6330,348.4563,0.6417,5.0000,0.8000
0.80,5,8,271.3833,5.2778,332.4647,0.6304,5.0000,0.8000
