seed,hi,hj,freq_hj,hor_m_fim,pop_fim,fixou
1,10,11,0.5324,10.5324,221.6,misto
2,10,11,0.5176,10.5176,269.7,misto
3,10,11,0.4755,10.4755,322.6,misto
4,10,11,0.5253,10.5253,240.4,misto
5,10,11,0.5604,10.5604,294.5,misto
6,10,11,0.4180,10.4180,322.9,misto
7,10,11,0.6154,10.6154,314.2,misto
8,10,11,0.5386,10.5386,270.1,misto
1,10,12,0.7370,11.4740,224.7,misto
2,10,12,0.5347,11.0694,270.0,misto
3,10,12,0.5437,11.0874,324.2,misto
4,10,12,0.5888,11.1776,244.7,misto
5,10,12,0.5837,11.1674,292.2,misto
6,10,12,0.6250,11.2499,325.7,misto
7,10,12,0.3769,10.7537,311.1,misto
8,10,12,0.7000,11.3999,267.2,misto
1,11,12,0.7001,11.7001,220.2,misto
2,11,12,0.5090,11.5090,268.4,misto
3,11,12,0.4704,11.4704,315.6,misto
4,11,12,0.6348,11.6348,243.3,misto
5,11,12,0.5121,11.5121,291.4,misto
6,11,12,0.4379,11.4379,324.5,misto
7,11,12,0.5442,11.5442,311.6,misto
8,11,12,0.6743,11.6743,269.6,misto
1,1,10,1.0000,10.0000,225.1,HJ
2,1,10,1.0000,10.0000,267.7,HJ
3,1,10,1.0000,10.0000,322.4,HJ
4,1,10,1.0000,10.0000,248.0,HJ
5,1,10,1.0000,10.0000,299.4,HJ
6,1,10,1.0000,10.0000,325.1,HJ
7,1,10,1.0000,10.0000,318.5,HJ
8,1,10,1.0000,10.0000,270.6,HJ
1,1,11,1.0000,11.0000,219.8,HJ
2,1,11,1.0000,11.0000,273.6,HJ
3,1,11,1.0000,11.0000,322.3,HJ
4,1,11,1.0000,11.0000,242.3,HJ
5,1,11,1.0000,11.0000,296.9,HJ
6,1,11,1.0000,11.0000,324.0,HJ
7,1,11,1.0000,11.0000,313.9,HJ
8,1,11,1.0000,11.0000,262.3,HJ
1,1,12,1.0000,12.0000,223.0,HJ
2,1,12,1.0000,12.0000,265.8,HJ
3,1,12,1.0000,12.0000,323.5,HJ
4,1,12,1.0000,12.0000,245.2,HJ
5,1,12,1.0000,12.0000,292.9,HJ
6,1,12,1.0000,12.0000,322.9,HJ
7,1,12,1.0000,12.0000,312.8,HJ
8,1,12,1.0000,12.0000,269.7,HJ
1,1,2,1.0000,2.0000,227.1,HJ
2,1,2,1.0000,2.0000,273.4,HJ
3,1,2,1.0000,2.0000,322.8,HJ
4,1,2,1.0000,2.0000,250.4,HJ
5,1,2,1.0000,2.0000,301.8,HJ
6,1,2,1.0000,2.0000,329.9,HJ
7,1,2,1.0000,2.0000,316.9,HJ
8,1,2,1.0000,2.0000,273.0,HJ
1,1,3,1.0000,3.0000,227.1,HJ
2,1,3,1.0000,3.0000,273.1,HJ
3,1,3,1.0000,3.0000,325.6,HJ
4,1,3,1.0000,3.0000,247.4,HJ
5,1,3,1.0000,3.0000,299.1,HJ
6,1,3,1.0000,3.0000,330.0,HJ
7,1,3,1.0000,3.0000,317.9,HJ
8,1,3,1.0000,3.0000,272.8,HJ
1,1,4,1.0000,4.0000,225.7,HJ
2,1,4,1.0000,4.0000,273.7,HJ
3,1,4,1.0000,4.0000,320.8,HJ
4,1,4,1.0000,4.0000,249.8,HJ
5,1,4,1.0000,4.0000,296.9,HJ
6,1,4,1.0000,4.0000,327.5,HJ
7,1,4,1.0000,4.0000,316.5,HJ
8,1,4,1.0000,4.0000,272.8,HJ
1,1,5,1.0000,5.0000,225.2,HJ
2,1,5,1.0000,5.0000,270.6,HJ
3,1,5,1.0000,5.0000,322.8,HJ
4,1,5,1.0000,5.0000,248.3,HJ
5,1,5,1.0000,5.0000,297.1,HJ
6,1,5,1.0000,5.0000,326.3,HJ
7,1,5,1.0000,5.0000,317.7,HJ
8,1,5,1.0000,5.0000,274.4,HJ
1,1,6,1.0000,6.0000,227.8,HJ
2,1,6,1.0000,6.0000,271.2,HJ
3,1,6,1.0000,6.0000,326.9,HJ
4,1,6,1.0000,6.0000,250.4,HJ
5,1,6,1.0000,6.0000,298.7,HJ
6,1,6,1.0000,6.0000,323.7,HJ
7,1,6,1.0000,6.0000,318.2,HJ
8,1,6,1.0000,6.0000,270.1,HJ
1,1,7,1.0000,7.0000,224.6,HJ
2,1,7,1.0000,7.0000,269.6,HJ
3,1,7,1.0000,7.0000,323.0,HJ
4,1,7,1.0000,7.0000,246.7,HJ
5,1,7,1.0000,7.0000,298.8,HJ
6,1,7,1.0000,7.0000,324.5,HJ
7,1,7,1.0000,7.0000,314.6,HJ
8,1,7,1.0000,7.0000,267.3,HJ
1,1,8,1.0000,8.0000,226.2,HJ
2,1,8,1.0000,8.0000,264.7,HJ
3,1,8,1.0000,8.0000,320.2,HJ
4,1,8,1.0000,8.0000,244.4,HJ
5,1,8,1.0000,8.0000,295.7,HJ
6,1,8,1.0000,8.0000,325.7,HJ
7,1,8,1.0000,8.0000,309.7,HJ
8,1,8,1.0000,8.0000,269.8,HJ
1,1,9,1.0000,9.0000,222.2,HJ
2,1,9,1.0000,9.0000,265.3,HJ
3,1,9,1.0000,9.0000,323.2,HJ
4,1,9,1.0000,9.0000,245.8,HJ
5,1,9,1.0000,9.0000,297.7,HJ
6,1,9,1.0000,9.0000,328.1,HJ
7,1,9,1.0000,9.0000,313.2,HJ
8,1,9,1.0000,9.0000,272.6,HJ
1,2,10,1.0000,10.0000,221.1,HJ
2,2,10,1.0000,10.0000,268.5,HJ
3,2,10,0.9365,9.4921,321.6,misto
4,2,10,1.0000,10.0000,246.5,HJ
5,2,10,0.9947,9.9579,293.2,HJ
6,2,10,1.0000,10.0000,323.2,HJ
7,2,10,0.9984,9.9870,320.2,HJ
8,2,10,1.0000,10.0000,272.5,HJ
1,2,11,1.0000,11.0000,226.2,HJ
2,2,11,1.0000,11.0000,268.8,HJ
3,2,11,0.9265,10.3384,322.7,misto
4,2,11,0.9959,10.9635,245.9,HJ
5,2,11,1.0000,11.0000,298.9,HJ
6,2,11,1.0000,11.0000,327.5,HJ
7,2,11,0.9896,10.9064,313.5,HJ
8,2,11,1.0000,11.0000,269.1,HJ
1,2,12,0.9970,11.9702,223.5,HJ
2,2,12,1.0000,12.0000,264.6,HJ
3,2,12,0.9164,11.1644,319.1,misto
4,2,12,0.9919,11.9190,246.8,HJ
5,2,12,0.9966,11.9663,296.4,HJ
6,2,12,1.0000,12.0000,323.1,HJ
7,2,12,0.9872,11.8717,311.7,HJ
8,2,12,1.0000,12.0000,269.9,HJ
1,2,3,1.0000,3.0000,226.5,HJ
2,2,3,1.0000,3.0000,272.9,HJ
3,2,3,0.9806,2.9806,325.8,HJ
4,2,3,1.0000,3.0000,249.0,HJ
5,2,3,0.9797,2.9797,299.0,misto
6,2,3,0.9962,2.9962,329.1,HJ
7,2,3,1.0000,3.0000,318.5,HJ
8,2,3,1.0000,3.0000,274.6,HJ
1,2,4,1.0000,4.0000,225.3,HJ
2,2,4,1.0000,4.0000,272.0,HJ
3,2,4,0.9970,3.9940,325.5,HJ
4,2,4,1.0000,4.0000,245.9,HJ
5,2,4,1.0000,4.0000,299.3,HJ
6,2,4,1.0000,4.0000,326.8,HJ
7,2,4,1.0000,4.0000,317.7,HJ
8,2,4,1.0000,4.0000,272.0,HJ
1,2,5,1.0000,5.0000,225.5,HJ
2,2,5,1.0000,5.0000,273.7,HJ
3,2,5,0.9846,4.9539,327.7,HJ
4,2,5,1.0000,5.0000,248.5,HJ
5,2,5,1.0000,5.0000,295.2,HJ
6,2,5,1.0000,5.0000,324.7,HJ
7,2,5,1.0000,5.0000,317.7,HJ
8,2,5,1.0000,5.0000,269.4,HJ
1,2,6,1.0000,6.0000,225.3,HJ
2,2,6,1.0000,6.0000,271.0,HJ
3,2,6,0.9894,5.9576,318.0,HJ
4,2,6,1.0000,6.0000,244.3,HJ
5,2,6,0.9967,5.9869,300.2,HJ
6,2,6,1.0000,6.0000,327.7,HJ
7,2,6,1.0000,6.0000,318.2,HJ
8,2,6,1.0000,6.0000,270.4,HJ
1,2,7,1.0000,7.0000,219.6,HJ
2,2,7,1.0000,7.0000,267.2,HJ
3,2,7,0.9763,6.8815,324.7,misto
4,2,7,1.0000,7.0000,249.5,HJ
5,2,7,1.0000,7.0000,292.4,HJ
6,2,7,1.0000,7.0000,324.1,HJ
7,2,7,1.0000,7.0000,312.2,HJ
8,2,7,1.0000,7.0000,271.5,HJ
1,2,8,1.0000,8.0000,225.0,HJ
2,2,8,1.0000,8.0000,269.8,HJ
3,2,8,0.9549,7.7297,325.1,misto
4,2,8,0.9960,7.9758,246.9,HJ
5,2,8,0.9967,7.9800,296.1,HJ
6,2,8,1.0000,8.0000,323.6,HJ
7,2,8,0.9968,7.9807,312.4,HJ
8,2,8,1.0000,8.0000,271.6,HJ
1,2,9,1.0000,9.0000,223.6,HJ
2,2,9,1.0000,9.0000,271.6,HJ
3,2,9,0.9570,8.6993,320.3,misto
4,2,9,1.0000,9.0000,248.4,HJ
5,2,9,0.9966,8.9765,296.1,HJ
6,2,9,1.0000,9.0000,326.9,HJ
7,2,9,0.9936,8.9553,312.6,HJ
8,2,9,1.0000,9.0000,268.9,HJ
1,3,10,0.9697,9.7882,221.6,misto
2,3,10,0.9926,9.9479,268.6,HJ
3,3,10,0.7564,8.2950,321.7,misto
4,3,10,0.9380,9.5659,252.4,misto
5,3,10,0.9025,9.3177,300.7,misto
6,3,10,0.9816,9.8710,325.8,HJ
7,3,10,0.9294,9.5057,318.4,misto
8,3,10,0.9963,9.9740,269.1,HJ
1,3,11,0.9829,10.8634,226.3,HJ
2,3,11,0.9911,10.9289,259.9,HJ
3,3,11,0.7761,9.2088,321.6,misto
4,3,11,0.9692,10.7532,248.2,misto
5,3,11,0.8777,10.0215,292.0,misto
6,3,11,0.9784,10.8273,324.1,misto
7,3,11,0.9269,10.4152,312.9,misto
8,3,11,0.9897,10.9178,266.6,HJ
1,3,12,0.9732,11.7584,223.4,misto
2,3,12,0.9888,11.8996,268.8,HJ
3,3,12,0.7891,10.1017,322.4,misto
4,3,12,0.9632,11.6684,244.2,misto
5,3,12,0.8848,10.9632,295.7,misto
6,3,12,0.9692,11.7229,324.8,misto
7,3,12,0.9285,11.3566,316.2,misto
8,3,12,0.9925,11.9326,266.8,HJ
1,3,4,0.9957,3.9957,225.5,HJ
2,3,4,0.9894,3.9894,272.0,HJ
3,3,4,0.8242,3.8242,325.4,misto
4,3,4,0.9929,3.9929,246.7,HJ
5,3,4,0.9104,3.9104,298.9,misto
6,3,4,0.9672,3.9672,327.1,misto
7,3,4,0.9091,3.9091,314.4,misto
8,3,4,1.0000,4.0000,272.9,HJ
1,3,5,0.9768,4.9536,224.9,misto
2,3,5,0.9927,4.9853,272.6,HJ
3,3,5,0.8806,4.7612,322.8,misto
4,3,5,0.9920,4.9840,247.3,HJ
5,3,5,0.9224,4.8448,298.7,misto
6,3,5,0.9910,4.9819,328.5,HJ
7,3,5,0.9521,4.9042,313.2,misto
8,3,5,1.0000,5.0000,269.4,HJ
1,3,6,0.9956,5.9867,225.3,HJ
2,3,6,1.0000,6.0000,269.3,HJ
3,3,6,0.8500,5.5500,323.0,misto
4,3,6,0.9965,5.9894,248.3,HJ
5,3,6,0.9455,5.8365,300.2,misto
6,3,6,0.9985,5.9956,325.9,HJ
7,3,6,0.9731,5.9193,308.3,misto
8,3,6,1.0000,6.0000,268.9,HJ
1,3,7,0.9955,6.9821,225.0,HJ
2,3,7,1.0000,7.0000,271.0,HJ
3,3,7,0.8585,6.4339,319.4,misto
4,3,7,0.9763,6.9053,248.6,misto
5,3,7,0.9241,6.6963,295.5,misto
6,3,7,0.9878,6.9511,327.1,HJ
7,3,7,0.9775,6.9102,311.9,misto
8,3,7,0.9962,6.9850,267.9,HJ
1,3,8,1.0000,8.0000,224.4,HJ
2,3,8,0.9963,7.9814,266.4,HJ
3,3,8,0.8041,7.0204,323.3,misto
4,3,8,0.9710,7.8552,241.7,misto
5,3,8,0.9178,7.5888,295.9,misto
6,3,8,0.9846,7.9231,325.2,HJ
7,3,8,0.9421,7.7103,316.3,misto
8,3,8,0.9963,7.9813,269.1,HJ
1,3,9,0.9911,8.9463,223.8,HJ
2,3,9,0.9924,8.9545,269.1,HJ
3,3,9,0.8088,7.8526,325.0,misto
4,3,9,0.9794,8.8766,242.8,misto
5,3,9,0.8892,8.3353,297.9,misto
6,3,9,0.9767,8.8603,329.5,misto
7,3,9,0.9370,8.6219,312.5,misto
8,3,9,0.9851,8.9104,268.1,HJ
1,4,10,0.9019,9.4113,223.0,misto
2,4,10,0.9302,9.5814,269.1,misto
3,4,10,0.6715,8.0290,325.6,misto
4,4,10,0.9399,9.6394,248.1,misto
5,4,10,0.7345,8.4067,296.5,misto
6,4,10,0.8959,9.3754,324.2,misto
7,4,10,0.8491,9.0948,316.6,misto
8,4,10,0.9713,9.8281,271.4,misto
1,4,11,0.9034,10.3238,223.4,misto
2,4,11,0.9128,10.3896,266.0,misto
3,4,11,0.6218,8.3524,323.4,misto
4,4,11,0.8788,10.1513,246.7,misto
5,4,11,0.7623,9.3360,298.7,misto
6,4,11,0.9270,10.4893,328.0,misto
7,4,11,0.8923,10.2458,312.4,misto
8,4,11,0.9358,10.5503,269.6,misto
1,4,12,0.9042,11.2334,218.4,misto
2,4,12,0.9213,11.3703,267.1,misto
3,4,12,0.6578,9.2625,326.9,misto
4,4,12,0.9005,11.2041,242.8,misto
5,4,12,0.7635,10.1079,296.4,misto
6,4,12,0.8765,11.0120,324.2,misto
7,4,12,0.8640,10.9120,311.3,misto
8,4,12,0.9439,11.5516,267.6,misto
1,4,5,0.8496,4.8496,228.0,misto
2,4,5,0.8962,4.8962,270.8,misto
3,4,5,0.6946,4.6946,324.8,misto
4,4,5,0.8533,4.8533,248.2,misto
5,4,5,0.6917,4.6917,298.0,misto
6,4,5,0.9276,4.9276,329.1,misto
7,4,5,0.8513,4.8513,315.7,misto
8,4,5,0.9252,4.9252,269.9,misto
1,4,6,0.9462,5.8924,223.3,misto
2,4,6,0.9676,5.9353,270.3,misto
3,4,6,0.6624,5.3248,319.2,misto
4,4,6,0.9207,5.8414,243.9,misto
5,4,6,0.7678,5.5357,297.3,misto
6,4,6,0.8419,5.6838,330.7,misto
7,4,6,0.8638,5.7276,315.4,misto
8,4,6,0.9744,5.9488,273.6,misto
1,4,7,0.9633,6.8899,225.7,misto
2,4,7,0.9554,6.8663,269.3,misto
3,4,7,0.7419,6.2257,322.0,misto
4,4,7,0.9348,6.8045,245.7,misto
5,4,7,0.8061,6.4183,293.9,misto
6,4,7,0.8919,6.6757,324.6,misto
7,4,7,0.8857,6.6572,319.2,misto
8,4,7,0.9590,6.8769,273.1,misto
1,4,8,0.9305,7.7219,222.5,misto
2,4,8,0.9566,7.8262,269.8,misto
3,4,8,0.7376,6.9504,319.1,misto
4,4,8,0.9379,7.7515,244.9,misto
5,4,8,0.8010,7.2041,295.1,misto
6,4,8,0.9574,7.8297,326.4,misto
7,4,8,0.8484,7.3935,313.8,misto
8,4,8,0.9683,7.8734,270.5,misto
1,4,9,0.9181,8.5905,222.4,misto
2,4,9,0.9289,8.6447,265.0,misto
3,4,9,0.6038,7.0188,323.6,misto
4,4,9,0.9381,8.6906,243.7,misto
5,4,9,0.8047,8.0233,296.3,misto
6,4,9,0.9263,8.6313,324.6,misto
7,4,9,0.8633,8.3163,315.2,misto
8,4,9,0.9717,8.8583,264.6,misto
1,5,10,0.9011,9.5053,224.5,misto
2,5,10,0.8594,9.2972,270.5,misto
3,5,10,0.6049,8.0245,320.4,misto
4,5,10,0.7874,8.9369,241.8,misto
5,5,10,0.7010,8.5048,295.9,misto
6,5,10,0.8075,9.0373,325.7,misto
7,5,10,0.7868,8.9338,317.2,misto
8,5,10,0.9278,9.6390,270.0,misto
1,5,11,0.8459,10.0756,225.4,misto
2,5,11,0.8858,10.3149,267.2,misto
3,5,11,0.5391,8.2344,320.0,misto
4,5,11,0.8500,10.1001,243.8,misto
5,5,11,0.7016,9.2096,296.3,misto
6,5,11,0.7255,9.3530,323.5,misto
7,5,11,0.7991,9.7946,317.0,misto
8,5,11,0.8981,10.3884,266.0,misto
1,5,12,0.8231,10.7618,222.0,misto
