tick,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
0,7,2,1,2,6,5,7,8,6,3,7,6
200,17,6,6,8,22,27,25,34,22,8,27,31
400,8,6,5,8,22,27,26,28,21,9,24,29
600,7,6,5,8,22,29,27,30,23,9,29,27
800,4,6,5,9,22,31,27,31,22,11,29,28
1000,3,6,5,9,23,32,25,29,22,7,28,30
1200,3,6,5,9,24,31,22,27,23,10,27,36
1400,2,6,5,9,24,29,21,24,23,11,27,41
1600,2,6,5,9,26,30,21,25,24,11,26,35
1800,2,6,5,9,26,31,21,25,24,11,27,33
2000,0,6,5,10,27,31,21,25,24,13,28,37
2200,0,6,6,12,27,30,19,22,22,12,25,36
2400,0,6,6,12,28,30,20,20,21,12,25,42
2600,0,5,6,13,29,30,20,19,21,12,24,47
2800,0,5,6,13,29,30,19,20,20,13,23,45
3000,0,5,6,13,29,29,16,19,19,17,22,43
3200,0,5,7,13,29,30,19,18,21,17,22,41
3400,0,4,7,12,29,30,19,17,18,18,21,47
3600,0,4,8,12,30,30,18,17,13,19,18,48
3800,0,3,8,12,30,31,16,16,12,19,19,51
4000,0,3,8,13,30,32,18,15,11,17,22,55
4200,0,2,8,13,30,33,18,14,12,13,20,51
4400,0,2,8,13,34,31,18,14,11,12,22,60
4600,0,2,8,13,34,31,16,13,11,11,22,61
4800,0,2,8,13,35,30,16,9,11,11,21,57
5000,0,2,8,14,35,30,17,9,12,14,22,70
5200,0,2,8,13,34,30,14,8,10,12,21,59
5400,0,2,10,14,36,31,13,8,10,12,24,67
5600,0,2,10,14,37,31,13,9,10,11,24,64
5800,0,2,11,13,38,32,13,8,8,11,21,58
6000,0,2,11,13,40,32,11,8,8,11,20,65
6200,0,2,11,13,41,33,11,7,8,11,20,65
6400,0,2,11,13,41,30,11,6,9,11,20,66
6600,0,2,11,14,40,31,11,5,10,12,16,66
6800,0,2,11,14,42,33,12,7,9,13,19,58
7000,0,2,11,14,42,34,13,11,9,13,23,57
7200,0,2,11,13,42,31,12,8,8,15,20,49
7400,0,2,11,14,41,33,14,9,11,16,23,50
7600,0,2,11,14,41,34,14,9,11,16,21,46
7800,0,2,12,15,42,37,15,9,10,16,16,45
8000,0,2,12,15,43,36,14,8,10,17,19,50
8200,0,2,12,15,44,36,12,8,8,15,18,48
