tick,pop,recente,referencia,ativo
0,60,0.000,0.000,0
1,60,0.000,0.000,0
2,60,0.000,0.000,0
3,60,0.000,0.000,0
4,100,0.000,0.000,0
5,112,0.000,0.000,0
6,118,0.000,0.000,0
7,119,0.000,0.000,0
8,140,0.000,0.000,0
9,167,0.000,0.000,0
10,183,0.000,0.000,0
11,188,0.000,0.000,0
12,195,0.000,0.000,0
13,200,0.000,0.000,0
14,206,0.000,0.000,0
15,211,0.000,0.000,0
16,214,0.000,0.000,0
17,215,0.000,0.000,0
18,218,0.000,0.000,0
19,220,0.000,0.000,0
20,222,0.000,0.000,0
21,225,0.000,0.000,0
22,228,0.000,0.000,0
23,231,0.000,0.000,0
24,232,0.000,0.000,0
25,236,0.000,0.000,0
26,239,0.000,0.000,0
27,242,0.000,0.000,0
28,245,0.000,0.000,0
29,246,0.000,0.000,0
30,249,0.000,0.000,0
31,249,0.000,0.000,0
32,251,0.000,0.000,0
33,251,0.000,0.000,0
34,252,0.000,0.000,0
35,253,0.000,0.000,0
36,254,0.000,0.000,0
37,256,0.000,0.000,0
38,257,0.000,0.000,0
39,258,0.000,0.000,0
40,258,0.000,0.000,0
41,259,0.000,0.000,0
42,259,0.000,0.000,0
43,262,0.000,0.000,0
44,263,0.000,0.000,0
45,264,0.000,0.000,0
46,266,0.000,0.000,0
47,267,0.000,0.000,0
48,268,0.000,0.000,0
49,269,0.000,0.000,0
50,271,0.000,0.000,0
51,272,0.000,0.000,0
52,273,0.000,0.000,0
53,275,0.000,0.000,0
54,275,0.000,0.000,0
55,276,0.000,0.000,0
56,277,0.000,0.000,0
57,277,0.000,0.000,0
58,277,0.000,0.000,0
59,277,0.000,0.000,0
60,278,0.000,0.000,0
61,278,0.000,0.000,0
62,278,0.000,0.000,0
63,278,0.000,0.000,0
64,278,0.000,0.000,0
65,278,0.000,0.000,0
66,279,0.000,0.000,0
67,279,0.000,0.000,0
68,281,0.000,0.000,0
69,282,0.000,0.000,0
70,282,0.000,0.000,0
71,283,0.000,0.000,0
72,286,0.000,0.000,0
73,287,0.000,0.000,0
74,288,0.000,0.000,0
75,288,0.000,0.000,0
76,288,0.000,0.000,0
77,289,0.000,0.000,0
78,289,0.000,0.000,0
79,289,0.000,0.000,0
80,290,0.000,0.000,0
81,290,0.000,0.000,0
82,291,0.000,0.000,0
83,291,0.000,0.000,0
84,292,0.000,0.000,0
85,292,0.000,0.000,0
86,292,0.000,0.000,0
87,294,0.000,0.000,0
88,294,0.000,0.000,0
89,294,0.000,0.000,0
90,295,0.000,0.000,0
91,295,0.000,0.000,0
92,295,0.000,0.000,0
93,296,0.000,0.000,0
94,296,0.000,0.000,0
95,295,0.000,0.000,0
96,296,0.000,0.000,0
97,298,0.000,0.000,0
98,298,0.000,0.000,0
99,300,0.000,0.000,0
100,300,0.000,0.000,0
101,300,0.000,0.000,0
102,299,0.000,0.000,0
103,299,0.000,0.000,0
104,298,0.000,0.000,0
105,298,0.000,0.000,0
106,298,0.000,0.000,0
107,298,0.000,0.000,0
108,298,0.000,0.000,0
109,298,0.000,0.000,0
110,298,0.000,0.000,0
111,298,0.000,0.000,0
112,300,0.000,0.000,0
113,300,0.000,0.000,0
114,300,0.000,0.000,0
115,300,0.000,0.000,0
116,300,0.000,0.000,0
117,301,0.000,0.000,0
118,301,0.000,0.000,0
119,302,0.000,0.000,0
120,301,0.000,0.000,0
121,300,0.000,0.000,0
122,300,0.000,0.000,0
123,301,0.000,0.000,0
124,302,0.000,0.000,0
125,302,0.000,0.000,0
126,301,0.000,0.000,0
127,302,0.000,0.000,0
128,302,0.000,0.000,0
129,304,0.000,0.000,0
130,304,0.000,0.000,0
131,305,0.000,0.000,0
132,305,0.000,0.000,0
133,304,0.000,0.000,0
134,304,0.000,0.000,0
135,303,0.000,0.000,0
136,304,0.000,0.000,0
137,304,0.000,0.000,0
138,304,0.000,0.000,0
139,300,0.000,0.000,0
140,300,0.000,0.000,0
141,301,0.000,0.000,0
142,300,0.000,0.000,0
143,300,0.000,0.000,0
144,300,0.000,0.000,0
145,298,0.000,0.000,0
146,297,0.000,0.000,0
147,294,0.000,0.000,0
148,296,0.000,0.000,0
149,296,0.000,0.000,0
150,295,0.000,0.000,0
151,295,0.000,0.000,0
152,294,0.000,0.000,0
153,293,0.000,0.000,0
154,292,0.000,0.000,0
155,290,0.000,0.000,0
156,290,0.000,0.000,0
157,288,0.000,0.000,0
158,285,0.000,0.000,0
159,285,0.000,0.000,0
160,285,0.000,0.000,0
161,282,0.000,0.000,0
162,282,0.000,0.000,0
163,282,0.000,0.000,0
164,281,0.000,0.000,0
165,281,0.000,0.000,0
166,280,0.000,0.000,0
167,280,0.000,0.000,0
168,280,0.000,0.000,0
169,279,0.000,0.000,0
170,279,0.000,0.000,0
171,279,0.000,0.000,0
172,279,0.000,0.000,0
173,279,0.000,0.000,0
174,280,0.000,0.000,0
175,280,0.000,0.000,0
176,281,0.000,0.000,0
177,281,0.000,0.000,0
178,281,0.000,0.000,0
179,278,0.000,0.000,0
180,278,0.000,0.000,0
181,278,0.000,0.000,0
182,277,0.000,0.000,0
183,276,0.000,0.000,0
184,274,0.000,0.000,0
185,274,0.000,0.000,0
186,273,0.000,0.000,0
187,272,0.000,0.000,0
188,272,0.000,0.000,0
189,272,0.000,0.000,0
190,272,0.000,0.000,0
191,270,0.000,0.000,0
192,270,0.000,0.000,0
193,270,0.000,0.000,0
194,271,0.000,0.000,0
195,270,0.000,0.000,0
196,270,0.000,0.000,0
197,270,0.000,0.000,0
198,270,0.000,0.000,0
199,269,0.000,0.000,0
200,269,0.000,0.000,0
201,269,0.000,0.000,0
202,269,0.000,0.000,0
203,267,0.000,0.000,0
204,267,0.000,0.000,0
205,267,0.000,0.000,0
206,266,0.000,0.000,0
207,266,0.000,0.000,0
208,266,0.000,0.000,0
209,264,0.000,0.000,0
210,264,0.000,0.000,0
211,263,0.000,0.000,0
212,263,0.000,0.000,0
213,263,0.000,0.000,0
214,263,0.000,0.000,0
215,262,0.000,0.000,0
216,262,0.000,0.000,0
217,262,0.000,0.000,0
218,262,0.000,0.000,0
219,262,0.000,0.000,0
220,261,0.000,0.000,0
221,259,0.000,0.000,0
222,259,0.000,0.000,0
223,259,0.000,0.000,0
224,259,0.000,0.000,0
225,258,0.000,0.000,0
226,260,0.000,0.000,0
227,260,0.000,0.000,0
228,259,0.000,0.000,0
229,259,0.000,0.000,0
230,258,0.000,0.000,0
231,258,0.000,0.000,0
232,258,0.000,0.000,0
233,259,0.000,0.000,0
234,259,0.000,0.000,0
235,260,0.000,0.000,0
236,260,0.000,0.000,0
237,260,0.000,0.000,0
238,260,0.000,0.000,0
239,260,0.000,0.000,0
240,260,0.000,0.000,0
241,261,0.000,0.000,0
242,261,0.000,0.000,0
243,261,0.000,0.000,0
244,261,0.000,0.000,0
245,262,0.000,0.000,0
246,262,0.000,0.000,0
247,262,0.000,0.000,0
248,261,0.000,0.000,0
249,261,0.000,0.000,0
250,259,0.000,0.000,0
251,260,0.000,0.000,0
252,262,0.000,0.000,0
253,261,0.000,0.000,0
254,261,0.000,0.000,0
